parliament,url,start_date,end_date
"43rd Parliament, 1st Session",https://www.ola.org/en/legislative-business/bills/parliament-43/session-1/,"August 8, 2022",present
"42nd Parliament, 2nd Session",https://www.ola.org/en/legislative-business/bills/parliament-42/session-2/,"October 4, 2021","May 3, 2022"
"42nd Parliament, 1st Session",https://www.ola.org/en/legislative-business/bills/parliament-42/session-1,"July 11, 2018","September 12, 2021"
"41st Parliament, 3rd Session",https://www.ola.org/en/legislative-business/bills/parliament-41/session-3,"March 19, 2018","May 8, 2018"
"41st Parliament, 2nd Session",https://www.ola.org/en/legislative-business/bills/parliament-41/session-2,"September 12, 2016","March 15, 2018"
"41st Parliament, 1st Session",https://www.ola.org/en/legislative-business/bills/parliament-41/session-1,"July 2, 2014","September 8, 2016"
"40th Parliament, 2nd Session",https://www.ola.org/en/legislative-business/bills/parliament-40/session-2,"February 19, 2013","May 2, 2014"
"40th Parliament, 1st Session",https://www.ola.org/en/legislative-business/bills/parliament-40/session-1,"November 21, 2011","October 15, 2012"
"39th Parliament, 2nd Session",https://www.ola.org/en/legislative-business/bills/parliament-39/session-2,"March 8, 2010","June 1, 2011"
"39th Parliament, 1st Session",https://www.ola.org/en/legislative-business/bills/parliament-39/session-1,"November 28, 2007","March 4, 2010"
"38th Parliament, 2nd Session",https://www.ola.org/en/legislative-business/bills/parliament-38/session-2,"October 11, 2005","September 10, 2007"
"38th Parliament, 1st Session",https://www.ola.org/en/legislative-business/bills/parliament-38/session-1,"November 19, 2003","September 19, 2005"
"37th Parliament, 4th Session",https://www.ola.org/en/legislative-business/bills/parliament-37/session-4,"April 30, 2003","September 2, 2003"
"37th Parliament, 3rd Session",https://www.ola.org/en/legislative-business/bills/parliament-37/session-3,"May 9, 2002","March 12, 2003"
"37th Parliament, 2nd Session",https://www.ola.org/en/legislative-business/bills/parliament-37/session-2,"April 19, 2001","March 1, 2002"
"37th Parliament, 1st Session",https://www.ola.org/en/legislative-business/bills/parliament-37/session-1,"October 20, 1999","March 2, 2001"
"36th Parliament, 3rd Session",https://www.ola.org/en/legislative-business/bills/parliament-36/session-3,"April 22, 1999","May 4, 1999"
"36th Parliament, 2nd Session",https://www.ola.org/en/legislative-business/bills/parliament-36/session-2,"April 23, 1998","December 18, 1998"
"36th Parliament, 1st Session",https://www.ola.org/en/legislative-business/bills/parliament-36/session-1,"September 26, 1995","December 18, 1997"
